Team,Saison,Spieltag,Tore,Gegentore,Punkte,Ballbesitz
VfL Wolfsburg,2023/2024,1,3,0,3,62.5
VfL Wolfsburg,2023/2024,2,2,1,3,58.0
VfL Wolfsburg,2023/2024,3,4,0,3,65.2
FC Bayern München,2023/2024,1,2,0,3,60.1
FC Bayern München,2023/2024,2,1,1,1,55.4
FC Bayern München,2023/2024,3,3,1,3,59.8
Eintracht Frankfurt,2023/2024,1,1,2,0,48.5
Eintracht Frankfurt,2023/2024,2,2,0,3,51.2
Eintracht Frankfurt,2023/2024,3,1,1,1,49.9
TSG Hoffenheim,2023/2024,1,0,3,0,45.0
TSG Hoffenheim,2023/2024,2,1,2,0,42.5
TSG Hoffenheim,2023/2024,3,2,1,3,47.8
VfL Wolfsburg,2022/2023,1,4,1,3,64.0
VfL Wolfsburg,2022/2023,2,3,0,3,61.5
FC Bayern München,2022/2023,1,3,0,3,62.0
FC Bayern München,2022/2023,2,2,1,3,58.5
